venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,BUY,40,90.6,87.22,-0.05,-0.01812,-135.19999999999982,
VENUE_A,maker,SELL,20,87.9,87.2,-0.05,-0.008790000000000001,14.000000000000057,
VENUE_A,maker,SELL,20,87.9,89.25,-0.05,-0.008790000000000001,-26.999999999999886,
VENUE_A,maker,BUY,40,86.5,89.24,-0.05,-0.017300000000000003,109.5999999999998,
VENUE_A,maker,BUY,40,90.55,63.01,-0.05,-0.01811,-1101.6,
VENUE_A,maker,SELL,20,91.95,63.01,-0.05,-0.009195,578.8000000000001,
VENUE_A,maker,SELL,20,91.95,63.01,-0.05,-0.009195,578.8000000000001,
VENUE_A,maker,SELL,40,63.7,77.13,-0.05,-0.012740000000000001,-537.1999999999997,
VENUE_A,maker,BUY,40,62.3,63.0,-0.05,-0.01246,28.000000000000114,
VENUE_A,maker,SELL,40,63.15,80.94,-0.05,-0.01263,-711.5999999999999,
VENUE_A,maker,BUY,40,61.8,62.47,-0.05,-0.012360000000000001,26.800000000000068,
VENUE_A,maker,SELL,20,63.15,62.47,-0.05,-0.006315,13.599999999999994,
VENUE_A,maker,SELL,20,63.15,80.94,-0.05,-0.006315,-355.79999999999995,
VENUE_A,maker,BUY,40,80.25,53.26,-0.05,-0.016050000000000002,-1079.6000000000001,
VENUE_A,maker,BUY,20,52.55,39.41,-0.05,-0.005255,-262.8,
VENUE_A,maker,BUY,20,52.55,39.41,-0.05,-0.005255,-262.8,
VENUE_A,maker,SELL,20,53.95,39.41,-0.05,-0.0053950000000000005,290.8000000000001,
VENUE_A,maker,BUY,20,38.7,39.4,-0.05,-0.00387,13.999999999999915,
VENUE_A,maker,SELL,20,40.1,39.4,-0.05,-0.0040100000000000005,14.000000000000057,
VENUE_A,maker,SELL,20,40.1,60.18,-0.05,-0.0040100000000000005,-401.59999999999997,
VENUE_A,maker,BUY,20,38.7,60.17,-0.05,-0.00387,429.4,
VENUE_A,maker,BUY,20,59.5,60.17,-0.05,-0.00595,13.400000000000034,
VENUE_A,maker,BUY,40,59.5,60.16,-0.05,-0.0119,26.399999999999864,
VENUE_A,maker,SELL,40,60.85,70.57,-0.05,-0.01217,-388.79999999999967,
VENUE_A,maker,BUY,20,69.9,70.6,-0.05,-0.0069900000000000006,13.999999999999773,
